Date,amgn,gd,nwl,zion,mat,vno,sbac,flir,wfc,aee,fcx,ksu,mtb,duk,tss,etr,pnr,incy,regn,mdlz,wynn,pep,dva,ads,mnst,sti,akam,tfx,wat,antm,hon,o,usb,ma,rtn,sna,dre,csx,pcar,pru,amp,ndaq,ual,apa,re,gww,dte,cf,aig,msci
2017-05-19,158.30064,155.40431,45.646854,37.898342,22.157091,96.1908,110.45916,35.105984,52.517624,41.374477,12.517815,94.126755,139.13564,67.949776,58.531803,71.479065,61.716698,123.079865,520.1391,46.365967,123.10241,103.8052,75.82244,256.22266,48.72736,47.001896,55.631325,188.31961,158.6139,158.98656,94.8222,40.467953,40.0341,83.97505,107.982666,99.32946,18.0795,34.112072,52.890984,73.94617,96.87969,46.56069,53.440804,64.921555,152.70013,174.10986,69.837006,40.52018,221.541,66.55817
2017-05-22,157.01039,154.71132,45.282997,37.514698,21.894453,95.88792,110.50265,34.889374,52.134647,41.220413,12.021109,93.496284,138.12721,67.86731,57.64249,70.96224,61.589863,123.51853,519.9908,46.16004,119.364815,103.634125,75.770905,253.31644,48.31834,46.682373,54.795036,186.12488,157.63503,158.07452,94.37959,40.330124,39.886757,84.4377,107.72896,99.700775,18.024876,33.931675,52.59036,74.071625,96.15613,46.428055,53.13164,64.27128,152.8855,173.26524,69.81644,40.31636,219.85301,65.78536
2017-05-23,156.78633,154.87288,45.638107,37.556057,22.085434,96.18997,110.018555,34.84755,52.439064,41.3326,12.070983,93.60063,138.71494,68.04127,58.347404,70.99521,61.771797,124.96405,523.5923,46.40807,121.267334,103.64657,75.820915,253.44597,48.53545,46.698242,54.677895,187.82693,158.42802,158.2732,94.79544,40.52465,40.133198,84.39821,108.06033,99.74455,18.142155,34.104565,52.794537,73.87914,98.09835,46.77436,53.720238,64.78348,154.13576,173.56755,70.27225,40.370735,220.83578,66.67427
2017-05-24,156.5146,155.34785,45.746487,37.88822,21.860733,96.29113,110.26789,34.85936,52.706173,41.472134,12.333984,93.77382,139.18735,68.05317,58.845455,71.30103,61.82682,126.41466,527.0291,46.586445,122.9288,103.84075,75.779945,253.2686,48.867184,46.69117,54.66007,188.89572,159.11467,158.26735,95.05985,40.659443,40.165092,84.21849,108.01135,99.53889,18.257643,34.226826,52.98247,73.70448,99.22932,47.02223,53.904076,65.17309,155.24062,173.87656,70.87068,40.239418,223.25294,67.19761
2017-05-25,156.20511,155.61601,45.743427,38.229755,21.805632,96.39222,110.41456,34.845356,52.790997,41.485817,12.495005,93.720184,139.20596,68.069725,58.919453,71.53923,61.784977,127.67656,529.4219,46.668297,123.68522,103.99528,75.78138,252.63272,49.19247,46.64747,54.601906,189.28215,159.31819,158.09663,95.02674,40.751297,40.095104,84.181046,107.79697,99.46563,18.318628,34.25444,53.002304,73.639175,99.68466,47.127045,53.865574,65.2143,155.93602,174.13486,71.3555,40.058136,225.25494,67.2218
2017-05-26,155.52896,155.55298,45.593544,38.332092,21.936644,96.32711,110.55101,34.751724,52.634766,41.401756,12.397609,93.20338,138.82442,68.02278,58.59085,71.53734,61.66449,128.57484,529.9374,46.63121,123.17819,104.066505,75.768845,251.88536,49.40828,46.558174,54.366394,188.5334,159.09163,157.75238,94.77734,40.793877,39.984756,84.39295,107.600975,99.65191,18.315815,34.23353,52.863327,73.71588,99.48217,47.126373,53.710667,64.82896,156.22842,173.91524,71.64566,39.848648,225.74207,66.83001
2017-05-29,154.28946,155.15338,45.291164,38.144276,21.826303,95.961494,110.63159,34.496788,52.25532,41.244167,12.102152,92.91926,138.13661,67.949905,57.828167,71.35716,61.43845,128.77515,528.16547,46.494423,121.59869,104.01602,75.75092,250.54677,49.468307,46.421318,54.052597,186.83289,158.32292,157.20665,94.35415,40.772022,39.85176,84.83632,107.42507,99.93083,18.253088,34.113667,52.59974,73.89946,98.73728,47.048927,53.465267,63.973686,156.1841,173.17809,71.74351,39.60289,224.17805,66.11723
2017-05-30,153.5298,155.00197,45.23962,37.874836,21.742823,95.855804,110.45341,34.39076,52.068398,41.19454,11.908302,93.10777,137.92946,67.98922,57.59872,71.327736,61.324223,128.85617,527.00446,46.490234,121.20424,104.001114,75.7692,250.13869,49.671806,46.41179,53.820915,186.42517,158.1209,157.06555,94.2975,40.857826,39.89111,85.13348,107.528656,100.071144,18.248583,34.137985,52.54133,73.94547,99.0004,47.14846,53.6114,63.541706,156.56429,172.76852,71.934364,39.45893,222.88718,66.08441
2017-05-31,153.55498,155.27444,45.402977,37.77574,21.704535,95.92643,110.33273,34.54021,52.14827,41.283546,11.9687395,93.68779,138.25746,68.062386,57.972893,71.57751,61.33351,128.95276,527.3893,46.63256,122.01575,104.15404,75.77622,250.82874,50.072388,46.500652,53.75029,187.33754,158.57843,157.31967,94.591995,41.051655,40.000626,85.084885,107.641685,99.89293,18.330168,34.294235,52.732433,73.79028,100.21298,47.406254,53.973083,63.705833,157.49176,172.87543,72.350914,39.327293,223.68748,66.677025
2017-06-01,153.2107,155.54524,45.623287,37.82628,22.167511,95.4927,110.701126,34.79444,51.879948,41.351635,12.145711,94.52251,138.27196,68.08872,57.46778,71.556335,61.336906,128.88632,524.5634,46.866005,126.73917,104.62501,75.82398,251.76039,50.570805,46.351143,54.295303,184.53784,157.86217,156.98363,94.73555,41.008423,39.77319,84.49505,107.12127,99.39637,18.394226,34.114742,52.83728,73.356186,99.7879,47.38498,53.8488,63.12447,157.38972,172.87398,72.52315,38.894386,221.70312,65.948906
